day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,6,2012,29,57,18,0.0,65.0,3.0,7.6,1.3,3.4,0.5,not fire   ,0
2,6,2012,29,61,13,1.0,64.0,4.0,7.6,1.0,3.9,0.4,not fire   ,0
3,6,2012,26,82,22,13.0,47.0,2.0,7.1,0.3,2.7,0.1,not fire   ,0
4,6,2012,25,89,13,2.0,28.0,1.0,6.9,0.0,1.7,0.0,not fire   ,0
5,6,2012,27,77,16,0.0,64.0,3.0,14.2,1.2,3.9,0.5,not fire   ,0
6,6,2012,31,67,14,0.0,82.0,5.0,22.2,3.1,7.0,2.5,fire   ,0
7,6,2012,33,54,13,0.0,88.0,9.0,30.5,6.4,10.9,7.2,fire   ,0
8,6,2012,30,73,15,0.0,86.0,12.0,38.3,5.6,13.5,7.1,fire   ,0
9,6,2012,25,88,13,0.0,52.0,7.0,38.8,0.4,10.5,0.3,not fire   ,0
10,6,2012,28,79,12,0.0,73.0,9.0,46.3,1.3,12.6,0.9,not fire   ,0
11,6,2012,31,65,14,0.0,84.0,12.0,54.3,4.0,15.8,5.6,fire   ,0
12,6,2012,26,81,19,0.0,84.0,13.0,61.4,4.8,17.7,7.1,fire   ,0
13,6,2012,27,84,21,1.0,50.0,6.0,17.0,0.5,6.7,0.2,not fire   ,0
14,6,2012,30,78,20,0.0,59.0,4.0,7.8,1.0,4.4,0.4,not fire   ,0
15,6,2012,28,80,17,3.0,49.0,3.0,7.4,0.4,3.0,0.1,not fire   ,0
16,6,2012,29,89,13,0.0,36.0,1.0,7.6,0.0,2.2,0.0,not fire   ,0
17,6,2012,30,89,16,0.0,37.0,1.0,7.8,0.0,1.6,0.0,not fire   ,0
18,6,2012,31,78,14,0.0,56.0,1.0,8.0,0.7,2.4,0.2,not fire   ,0
19,6,2012,31,55,16,0.0,79.0,4.0,16.0,2.5,5.3,1.4,not fire   ,0
20,6,2012,30,80,16,0.0,59.0,3.0,27.1,0.9,5.1,0.4,not fire   ,0
21,6,2012,30,78,14,0.0,81.0,6.0,31.6,2.6,8.4,2.2,fire   ,0
22,6,2012,31,67,17,0.0,79.0,7.0,39.5,2.4,9.7,2.3,not fire   ,0
23,6,2012,32,62,18,0.0,81.0,8.0,47.7,3.3,11.5,3.8,fire   ,0
24,6,2012,32,66,17,0.0,85.0,11.0,55.8,5.6,14.9,7.5,fire   ,0
25,6,2012,31,64,15,0.0,86.0,14.0,63.8,5.7,18.3,8.4,fire   ,0
26,6,2012,31,64,18,0.0,86.0,17.0,71.8,6.7,21.6,10.6,fire   ,0
